Fecha,Cliente,Producto,Cantidad,PrecioUnitario,Total,Ciudad,Categoria_Cliente,Categoria_Producto,Impuesto
2025-10-09,Marco Díaz,Audífonos,2,799.28,1598.56,Comayagua,Silver,Accesorios,0.1
2025-10-09,Luis Mejía,Audífonos,1,1375.65,1375.65,El Paraíso,Silver,Accesorios,0.1
2025-10-29,Ana López,Audífonos,4,1317.88,5271.52,Tegucigalpa,Gold,Accesorios,0.1
2025-10-08,José Molina,Audífonos,1,420.1,420.1,Danlí,Regular,Accesorios,0.1
2025-10-08,Marco Díaz,Audífonos,1,621.21,621.21,Comayagua,Silver,Accesorios,0.1
2025-10-10,Pedro Castillo,Audífonos,4,357.47,1429.88,Siguatepeque,Gold,Accesorios,0.1
2025-10-20,José Molina,Audífonos,1,1089.11,1089.11,Danlí,Regular,Accesorios,0.1
2025-10-13,Pedro Castillo,Audífonos,3,1111.0,3333.0,Siguatepeque,Gold,Accesorios,0.1
2025-10-03,Carla Torres,Audífonos,4,836.14,3344.56,San Pedro Sula,Gold,Accesorios,0.1
2025-10-20,Pedro Castillo,Audífonos,2,775.5,1551.0,Siguatepeque,Gold,Accesorios,0.1
