Fecha,Cliente,Producto,Cantidad,PrecioUnitario,Total,Ciudad,Categoria_Cliente,Categoria_Producto,Impuesto
2025-10-30,José Molina,Mouse,3,336.58,1009.74,Danlí,Regular,Accesorios,0.1
2025-10-27,Andrea Ramos,Mouse,2,1317.72,2635.44,Juticalpa,Regular,Accesorios,0.1
2025-10-29,Marta Suazo,Mouse,3,1209.36,3628.08,La Ceiba,Regular,Accesorios,0.1
2025-10-12,Pedro Castillo,Mouse,3,490.08,1470.24,Siguatepeque,Gold,Accesorios,0.1
2025-10-11,Carla Torres,Mouse,3,217.26,651.78,San Pedro Sula,Gold,Accesorios,0.1
2025-10-08,Pedro Castillo,Mouse,3,1000.69,3002.07,Siguatepeque,Gold,Accesorios,0.1
2025-10-21,Luis Mejía,Mouse,3,61.38,184.14,El Paraíso,Silver,Accesorios,0.1
2025-10-07,Ana López,Mouse,1,708.31,708.31,Tegucigalpa,Gold,Accesorios,0.1
2025-10-02,José Molina,Mouse,4,285.36,1141.44,Danlí,Regular,Accesorios,0.1
2025-10-21,Marco Díaz,Mouse,4,482.0,1928.0,Comayagua,Silver,Accesorios,0.1
2025-10-23,Marco Díaz,Mouse,3,599.63,1798.89,Comayagua,Silver,Accesorios,0.1
2025-10-24,Ana López,Mouse,1,1343.28,1343.28,Tegucigalpa,Gold,Accesorios,0.1
2025-10-14,Luis Mejía,Mouse,1,246.35,246.35,El Paraíso,Silver,Accesorios,0.1
2025-10-20,Carla Torres,Mouse,1,698.28,698.28,San Pedro Sula,Gold,Accesorios,0.1
2025-10-05,Luis Mejía,Mouse,1,949.52,949.52,El Paraíso,Silver,Accesorios,0.1
